======ListNet MQ2007 metrics average of [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
5,      0.2042, 0.2941, 0.3208, 0.3413, 0.3493, 0.3522
6,      0.2053, 0.2941, 0.3205, 0.3416, 0.3494, 0.3522
7,      0.2009, 0.2919, 0.3193, 0.3396, 0.3476, 0.3505
8,      0.1987, 0.2897, 0.3174, 0.3375, 0.3456, 0.3485
9,      0.2035, 0.2950, 0.3208, 0.3417, 0.3498, 0.3526
10,     0.2028, 0.2915, 0.3182, 0.3388, 0.3470, 0.3499
AVG,    0.2022, 0.2932, 0.3196, 0.3402, 0.3482, 0.3510
STD,    0.0023, 0.0020, 0.0015, 0.0017, 0.0016, 0.0016
======Alpha[-2.0] Divergence MQ2007 [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4624, 0.4699, 0.4749, 0.5082, 0.5793, 0.6929
2,      0.4635, 0.4699, 0.4753, 0.5077, 0.5791, 0.6931
3,      0.4641, 0.4684, 0.4752, 0.5077, 0.5796, 0.6929
4,      0.4656, 0.4692, 0.4765, 0.5095, 0.5803, 0.6937
5,      0.4652, 0.4693, 0.4759, 0.5085, 0.5803, 0.6935
6,      0.4578, 0.4684, 0.4755, 0.5086, 0.5796, 0.6929
7,      0.4670, 0.4686, 0.4768, 0.5092, 0.5798, 0.6935
8,      0.4654, 0.4706, 0.4769, 0.5093, 0.5808, 0.6940
9,      0.4624, 0.4697, 0.4757, 0.5077, 0.5792, 0.6929
10,     0.4635, 0.4681, 0.4753, 0.5081, 0.5797, 0.6931
AVG,    0.4637, 0.4692, 0.4758, 0.5085, 0.5798, 0.6932
STD,    0.0024, 0.0008, 0.0007, 0.0007, 0.0005, 0.0004

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2175, 0.3121, 0.3376, 0.3575, 0.3651, 0.3677
2,      0.2176, 0.3118, 0.3375, 0.3573, 0.3650, 0.3676
3,      0.2190, 0.3127, 0.3385, 0.3584, 0.3661, 0.3687
4,      0.2178, 0.3114, 0.3379, 0.3574, 0.3650, 0.3676
5,      0.2188, 0.3129, 0.3384, 0.3583, 0.3659, 0.3685
6,      0.2154, 0.3105, 0.3368, 0.3564, 0.3640, 0.3666
7,      0.2202, 0.3129, 0.3391, 0.3589, 0.3665, 0.3691
